,damage_given,damage_received,damage_healed,toxic_damage_taken,hazard_damage_taken,burn_damage_taken,poison_damage_taken,life_orb_damage_taken,stealth_rock_damage_taken,spike_damage_taken,buff_received,recoil_damage_taken,week
Cresselia,260.0,-252.0,300.0,0.0,0.0,-148.0,0.0,0.0,0.0,0.0,8.0,0.0,1
Garbodor,63.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Infernape,31.0,-81.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,-1.0,0.0,1
Skarmory,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Gliscor,0.0,-109.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kabutops,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Moltres,200.0,-63.0,51.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,1
Flygon,18.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,1
Landorus-Therian,52.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Articuno,0.0,-63.0,13.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,1
Volcanion,380.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sylveon,92.0,-65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1
Ditto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Venomoth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sableye,19.0,-180.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bronzong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Suicune,487.0,0.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1
Snorlax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Blissey,0.0,-99.0,25.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Amoonguss,0.0,-107.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
